Year-Quarter,Day,Date,City,State,"City, ST",Country,Commodity,Value,Type of Loss,Location,Additional Information,Recovery?,Time,General Category
2020-Q1,Wednesday,2/12/20,Schiller Park,IL,"Schiller Park, IL",USA,Apparel,85728,Pilferage,Rest area,No additional details,,,Apparel
2020-Q1,Wednesday,2/12/20,Jackson,MS,"Jackson, MS",USA,Tissues,100,Pilferage,Truck stop/Gas station,I-20 Frontage Rd,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q1,Wednesday,2/12/20,Memphis,TN,"Memphis, TN",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,Overnight,Mixed cargo
2020-Q1,Thursday,2/13/20,Columbus,OH,"Columbus, OH",USA,Cigarettes,3908,Pilferage,Truck stop/Gas station,Refugee Rd,,,Tobacco & Alcohol
2020-Q1,Friday,2/14/20,Chicago,IL,"Chicago, IL",USA,Electronics,5000,Pilferage,Rail yard,No additional details,,,Consumer electronics
2020-Q1,Friday,2/14/20,Davie,FL,"Davie, FL",USA,Mixed goods,50050,Cargo theft,Carrier yard/parking,No additional details,Recovered,Early AM,Mixed cargo
2020-Q1,Saturday,2/15/20,Toledo,OH,"Toledo, OH",USA,Cereal,50000,Cargo theft,WH yard/parking,No additional details,,Evening,Food & Drinks
2020-Q1,Sunday,2/16/20,Moreno Valley,CA,"Moreno Valley, CA",USA,Paper,,Seal break,Roadside,No additional details,No loss,Early AM,"Cleaning, Plastic, & Paper"
2020-Q1,Sunday,2/16/20,San Antonio,TX,"San Antonio, TX",USA,Televisions,3000,Cargo theft,Warehouse,No additional details,,Morning,Consumer electronics
2020-Q1,Sunday,2/16/20,Miami,FL,"Miami, FL",USA,Liquor,100000,Cargo theft,Roadside,No additional details,Recovered,,Tobacco & Alcohol
2020-Q1,Monday,2/17/20,Dallas,TX,"Dallas, TX",USA,Paper towels,1000,Pilferage,Parking lot,No additional details,,Early AM,"Cleaning, Plastic, & Paper"
2020-Q1,Monday,2/17/20,San Diego,CA,"San Diego, CA",USA,Televisions,67200,Cargo theft,Origin/DC,Fictitious pickup,,Morning,Consumer electronics
2020-Q1,Monday,2/17/20,Memphis,TN,"Memphis, TN",USA,Sausages,7000,Pilferage,WH yard/parking,No additional details,,,Food & Drinks
2020-Q1,Tuesday,2/18/20,Doral,FL,"Doral, FL",USA,Perfume,427000,Cargo theft,Parking lot,No additional details,,Morning,Beauty & Personal Care
2020-Q1,Tuesday,2/18/20,Higginsville,MO,"Higginsville, MO",USA,Dish soap,1000,Pilferage,Truck stop/Gas station,MO 13,,Morning,"Cleaning, Plastic, & Paper"
2020-Q1,Tuesday,2/18/20,White Marsh,MD,"White Marsh, MD",USA,Mixed goods,,Seal break,Drop lot,9 containers broken into,No loss,Early AM,Mixed cargo
2020-Q1,Wednesday,2/19/20,Los Angeles,CA,"Los Angeles, CA",USA,Mixed goods,35000,Cargo theft,Roadside,No additional details,,,Mixed cargo
2020-Q1,Thursday,2/20/20,Austell,GA,"Austell, GA",USA,Auto parts,2000,Pilferage,Carrier yard/parking,No additional details,,Overnight,Automobile & Parts
2020-Q1,Thursday,2/20/20,French Camp,CA,"French Camp, CA",USA,Tiles,500,Pilferage,WH yard/parking,No additional details,,Afternoon,Construction & Industrial goods
2020-Q1,Thursday,2/20/20,Indianapolis,IN,"Indianapolis, IN",USA,Mixed goods,,Seal break,Secure yard,No additional details,No loss,,Mixed cargo
2020-Q1,Thursday,2/20/20,Lordsburg,NM,"Lordsburg, NM",USA,Mixed goods,,Seal break,Truck stop/Gas station,W Motel Dr,No loss,,Mixed cargo
2020-Q1,Friday,2/21/20,Riverside,CA,"Riverside, CA",USA,Televisions,70000,Cargo theft,Origin/DC,Fictitious pickup,,,Consumer electronics
2020-Q1,Friday,2/21/20,Hialeah,FL,"Hialeah, FL",USA,Tuna,155566,Cargo theft,Origin/DC,Fictitious pickup,,,Food & Drinks
2020-Q1,Friday,2/21/20,Lost Hills,CA,"Lost Hills, CA",USA,Pistachios,80000,Cargo theft,Origin/DC,Fictitious pickup,,Evening,Food & Drinks
2020-Q1,Friday,2/21/20,Conley,GA,"Conley, GA",USA,Wine,87000,Pilferage,Truck stop/Gas station,No additional details,,Overnight,Tobacco & Alcohol
2020-Q1,Saturday,2/22/20,Dallas,TX,"Dallas, TX",USA,Mixed goods,,Seal break,Truck stop/Gas station,S Polk St,No loss,,Mixed cargo
2020-Q1,Saturday,2/22/20,Winslow,AZ,"Winslow, AZ",USA,Mixed goods,,Seal break,Truck stop/Gas station,Transcon Ln,No loss,,Mixed cargo
2020-Q1,Sunday,2/23/20,Sanford,FL,"Sanford, FL",USA,Dish towels,40000,Cargo theft,Roadside,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q1,Sunday,2/23/20,Allentown,PA,"Allentown, PA",USA,Cooking oil,40000,Cargo theft,WH yard/parking,No additional details,,,Food & Drinks
2020-Q1,Sunday,2/23/20,Richmond,BC,"Richmond, BC",CAN,Pressure cookers,139000,Cargo theft,Parking lot,No additional details,,,Household & Appliances
2020-Q1,Sunday,2/23/20,Commerce,CA,"Commerce, CA",USA,Mixed goods,50000,Cargo theft,Drop lot,No additional details,,,Mixed cargo
2020-Q1,Sunday,2/23/20,Balch Springs,TX,"Balch Springs, TX",USA,Cigarettes,623924,Cargo theft,Parking lot,No additional details,,,Tobacco & Alcohol
2020-Q1,Monday,2/24/20,Dunn,NC,"Dunn, NC",USA,Contruction equipment,140442,Cargo theft,Truck stop/Gas station,Sadler Rd,,Overnight,Construction & Industrial goods
2020-Q1,Tuesday,2/25/20,Naperville,IL,"Naperville, IL",USA,French fries,526,Pilferage,Parking lot,No additional details,,Early AM,Food & Drinks
2020-Q1,Tuesday,2/25/20,Memphis,TN,"Memphis, TN",USA,Mixed goods,,Seal break,Truck stop/Gas station,E. Shelby Dr,No loss,Overnight,Mixed cargo
2020-Q1,Wednesday,2/26/20,Jacksonville,FL,"Jacksonville, FL",USA,Mixers,1000,Pilferage,Rail yard,No additional details,,Overnight,Construction & Industrial goods
2020-Q1,Wednesday,2/26/20,Montebello,CA,"Montebello, CA",USA,Mixed goods,408000,Cargo theft,Drop lot,No additional details,,Evening,Mixed cargo
2020-Q1,Friday,2/28/20,Schiller Park,IL,"Schiller Park, IL",USA,Raw materials,,Seal break,Truck stop/Gas station,I-294 Service Rd,No loss,Overnight,Construction & Industrial goods
2020-Q1,Friday,2/28/20,Chicago,IL,"Chicago, IL",USA,Chewing gum,50000,Cargo theft,Rail yard,No additional details,,Afternoon,Food & Drinks
2020-Q1,Saturday,2/29/20,City of Industry,CA,"City of Industry, CA",USA,Televisions,75000,Cargo theft,Carrier yard/parking,No additional details,Recovered,,Consumer electronics
2020-Q1,Saturday,2/29/20,North Las Vegas,NV,"North Las Vegas, NV",USA,Mixed goods,,Seal break,Parking lot,No additional details,No loss,Overnight,Mixed cargo
2020-Q1,Saturday,2/29/20,Vero Beach,FL,"Vero Beach, FL",USA,Tobacco,100000,Cargo theft,Truck stop/Gas station,20th St,,,Tobacco & Alcohol
2020-Q1,Sunday,3/1/20,Oakland Park,FL,"Oakland Park, FL",USA,Auto parts,50000,Cargo theft,Parking lot,No additional details,,Overnight,Automobile & Parts
2020-Q1,Sunday,3/1/20,Nogales,AZ,"Nogales, AZ",USA,Plumbing supplies,30000,Cargo theft,Unspecified,Driver missing,,,Construction & Industrial goods
2020-Q1,Monday,3/2/20,Newark,NJ,"Newark, NJ",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q1,Wednesday,3/4/20,Memphis,TN,"Memphis, TN",USA,Engine oil,2000,Pilferage,WH yard/parking,No additional details,,Overnight,Automobile & Parts
2020-Q1,Wednesday,3/4/20,Memphis,TN,"Memphis, TN",USA,Oil,1000,Pilferage,WH yard/parking,No additional details,,Overnight,Food & Drinks
2020-Q1,Wednesday,3/4/20,Dallas,TX,"Dallas, TX",USA,Appliances,38047,Cargo theft,WH yard/parking,No additional details,,Evening,Household & Appliances
2020-Q1,Wednesday,3/4/20,Morris,IL,"Morris, IL",USA,Chemicals,,Seal break,Truck stop/Gas station,Romines Dr,No loss,Overnight,Pharma & Medical supplies
2020-Q1,Thursday,3/5/20,Wilmington,IL,"Wilmington, IL",USA,Pizza dough,,Seal break,Truck stop/Gas station,No additional details,No loss,,Food & Drinks
2020-Q1,Friday,3/6/20,Memphis,TN,"Memphis, TN",USA,Medical equipment,1000,Pilferage,WH yard/parking,No additional details,,Early AM,Pharma & Medical supplies
2020-Q1,Saturday,3/7/20,Fontana,CA,"Fontana, CA",USA,Almonds,100000,Cargo theft,Parking lot,No additional details,,Overnight,Food & Drinks
2020-Q1,Sunday,3/8/20,Mississauga,ON,"Mississauga, ON",CAN,Berries,100000,Cargo theft,Roadside,No additional details,,Overnight,Food & Drinks
2020-Q1,Sunday,3/8/20,Montreal,QC,"Montreal, QC",CAN,Noodles,35000,Cargo theft,Roadside,No additional details,,,Food & Drinks
2020-Q1,Sunday,3/8/20,North Las Vegas,NV,"North Las Vegas, NV",USA,Food products,10000,Pilferage,Drop lot,6 trailers affected over a weekend,,,Food & Drinks
2020-Q1,Sunday,3/8/20,Columbia,SC,"Columbia, SC",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q1,Sunday,3/8/20,Irving,TX,"Irving, TX",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,,Mixed cargo
